1996,1,,30.1,15.8,90.6,49.6,0.0,4.5,8.4,3.9
1996,2,,30.4,16.3,89.7,51.6,0.0,5.6,7.9,4.2
1996,3,,31.0,17.9,91.3,53.1,0.0,5.3,7.5,4.4
1996,4,,31.4,16.9,88.1,43.3,0.0,4.6,8.5,4.9
1996,5,,31.4,17.6,90.3,48.0,0.0,5.3,8.9,5
1996,6,,31.3,18.2,86.6,52.3,2.2,16.4,8.4,4.9
1996,7,,32.5,18.5,88.4,47.7,0.0,5.8,8.5,5.2
1996,8,,34.0,20.5,87.9,50.7,0.0,8.9,9.6,6.5
1996,9,,34.4,19.1,76.7,40.2,0.0,7,9.8,7.3
1996,10,,35.5,20.1,79.3,34.4,0.0,7.3,9.8,7
1996,11,,36.4,21.6,84.9,36.1,0.0,9,9.8,8.3
1996,12,,36.7,22.4,88.4,39.4,0.0,9.2,9.1,7.7
1996,13,,38.1,26.4,83.1,46.1,0.0,12.1,8.9,8.5
1996,14,,36.9,23.6,77.7,40.1,0.0,9.6,10.2,8.4
1996,15,,36.1,25.1,76.4,44.9,0.0,9.1,6.5,7.3
1996,16,,37.6,26.7,77.1,48.3,3.6,11.4,8.1,8.7
1996,17,,39.0,27.1,82.7,51.0,3.0,12.3,9.5,8.7
1996,18,,43.1,27.7,78.1,33.4,0.0,9,9.5,9
1996,19,,43.8,25.8,80.7,24.3,29.2,9,10.3,12.5
1996,20,,42.9,27.0,73.0,28.6,0.8,10,9.2,12.5
1996,21,,42.2,27.4,79.4,35.9,1.2,10.8,8.1,13.3
1996,22,,42.3,28.9,72.4,38.4,0.0,14.9,9.5,15.2
1996,23,,39.8,27.0,73.7,47.7,26.7,9.9,6.9,16.3
1996,24,,32.7,25.2,76.6,53.1,91.9,11.7,5.7,17.5
1996,25,,37.6,27.0,74.7,54.1,2.4,14,5.4,18
1996,26,,37.8,26.4,77.6,56.1,3.0,11.7,5,21.1
1996,27,,37.4,25.2,79.3,57.6,105.7,10.8,5.2,23.6
1996,28,,33.5,25.1,79.3,61.0,47.3,6.7,4.5,23.8
1996,29,,32.5,25.0,80.6,61.1,48.0,9.6,5,24.2
1996,30,0.2,34.4,25.4,85.7,65.0,1.2,13.4,4.2,25.5
1996,31,0.4,34.6,25.6,80.4,56.1,10.4,10.4,3.3,25.9
1996,32,0.3,34.1,24.9,86.3,68.7,10.6,11.1,3.1,28.1
1996,33,1.2,32.6,24.5,90.3,67.7,123.2,5.5,3.5,28.5
1996,34,0.8,31.1,24.1,91.3,81.7,178.4,2.8,3,29.8
1996,35,1.3,31.6,24.4,89.6,76.4,147.2,5,3.1,32.3
1996,36,1.4,31.5,24.7,94.3,75.1,6.8,2.7,4.3,29.9
1996,37,1,33.9,24.8,88.3,66.1,20.0,3.2,7.5,33
1996,38,0.7,34.2,25.1,81.7,58.7,11.6,5.4,7.4,31.9
1996,39,1.9,34.7,24.8,85.9,60.7,4.4,4.3,4.2,30.1
1996,40,3.1,34.5,24.4,91.1,71.0,62.8,6,3.8,32.8
1996,41,13.5,32.0,24.3,90.3,72.3,0.0,3.5,2.9,33.5
1996,42,24.1,29.1,23.1,93.9,81.6,87.6,6,2.5,28.5
1996,43,25.1,30.8,23.7,93.3,78.1,0.8,3,5.3,31.1
1996,44,16.1,33.0,21.5,90.7,54.0,0.0,3.9,7.9,26.4
1996,45,10.6,32.2,20.3,84.9,53.9,2.4,5,7.1,23.8
1996,46,12.7,32.3,20.4,94.7,56.4,1.8,3.1,7.9,27.4
1996,47,8.3,29.8,20.4,81.9,61.9,37.4,3.7,5.6,22
1996,48,6.7,30.0,16.7,91.0,53.3,0.0,3.6,8.1,17.1
1996,49,20.6,29.4,19.6,85.3,64.0,4.2,4.9,3,20.5
1996,50,27.2,31.6,18.9,84.7,58.9,1.9,4.2,5.7,20.5
1996,51,30.3,30.1,16.7,94.9,66.7,0.0,2.7,8,20.7
1996,52,17.4,30.0,14.8,92.5,52.3,0.0,2.5,7.8,19.4
1997,1,,29.4,13.6,89.0,48.7,0.0,7.8,3.5,19.1
1997,2,,28.7,18.9,90.0,66.9,15.4,3.4,5.6,18.1
1997,3,,30.3,18.0,91.0,58.7,19.6,6.8,4.2,18.1
1997,4,,30.5,15.1,90.0,50.3,0.0,8.9,3.9,13.6
1997,5,,31.3,16.0,89.0,71.4,0.0,9,4.8,16.3
1997,6,,33.0,18.2,89.0,60.6,0.0,8.9,5.6,13.8
1997,7,,33.9,15.4,88.0,43.7,0.0,9.5,4.5,14.8
1997,8,,33.4,19.9,86.0,49.1,0.0,8.6,5.9,16.7
1997,9,,35.4,17.8,87.0,48.4,0.0,9.5,5.6,14.6
1997,10,,36.1,17.7,86.0,39.7,0.0,9.2,5.1,10.4
1997,11,,37.8,22.9,86.0,46.0,0.0,8.2,6.5,11.5
1997,12,,39.2,24.1,86.0,41.0,0.0,8.5,8.3,12.4
1997,13,,36.2,22.3,85.0,47.4,4.2,8.8,7.5,13.1
1997,14,,34.7,23.0,84.0,61.7,34.8,9.5,6.9,13.6
1997,15,,37.5,23.2,82.0,50.3,34.6,8.6,8.4,12.2
1997,16,,37.1,23.0,81.0,45.3,5.0,8.3,7.9,12.6
1997,17,,37.6,23.3,80.0,44.1,0.0,9.1,7.7,12.7
1997,18,,37.8,24.6,77.0,46.4,3.4,7.7,7.1,15.1
1997,19,,38.9,25.9,75.0,46.0,0.0,9.5,9.3,12.5
1997,20,,42.1,27.1,73.0,37.6,0.0,8.7,9.7,12.5
1997,21,,45.6,29.5,72.0,34.1,0.0,10.1,11,13.3
1997,22,,45.1,29.0,70.0,26.7,0.0,10.4,10.7,15.2
1997,23,,43.0,29.5,73.0,39.9,2.7,8.9,11.4,16.3
1997,24,,39.2,27.0,77.0,46.7,20.8,5.9,10.5,17.5
1997,25,,39.6,27.5,74.0,41.4,23.4,5.4,11.7,18
1997,26,,39.5,27.1,77.0,38.1,5.6,6.6,6.9,21.1
1997,27,,36.4,24.9,79.0,51.9,30.3,2.6,10.2,23.6
1997,28,,38.2,26.7,79.0,41.4,26.2,7.4,12.2,23.8
1997,29,,38.8,27.8,81.0,39.3,1.0,4.3,10.7,24.2
1997,30,,36.3,25.1,85.0,58.6,59.4,2.9,9.7,25.5
1997,31,,36.6,27.1,81.0,51.0,0.6,4.4,7.1,25.9
1997,32,,36.7,24.8,84.0,50.7,25.6,6.8,7.3,28.1
1997,33,,36.8,25.1,83.0,54.1,38.6,3.7,8.3,28.5
1997,34,,37.3,25.7,84.0,46.9,3.0,6.8,10.2,29.8
1997,35,,37.8,25.5,83.0,48.4,10.0,5.4,10.9,32.3
1997,36,,36.6,25.0,84.0,58.3,13.0,1.8,6.2,29.9
1997,37,,34.0,24.5,85.0,70.7,121.8,5,4.8,33
1997,38,,33.4,24.4,86.0,70.6,68.6,3.4,5.5,31.9
1997,39,,33.3,25.1,86.0,73.9,75.0,4.8,6.9,30.1
